country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Peru,46.4,42.8,40.6,38.2,40.4,38.6,50.9,65.7,82.8,62.8,55.4,42.4,52.4,71,75.1,83.8,106,91,132,90.2,82.3,62.5,58.8,70.6,61.9,60.8,54.4,52.8,56.3,59.8,57.3,54.4,53.3,53.3,50.3,41.6,36.1,34.4,31.1,33.3,30.9,28.4,30.3,29.8,32,36.3,37.7
Philippines,33.5,33.1,33.9,27.7,24.1,28.2,35.9,42,47.7,48.7,54.4,59.2,67.6,74.8,81.4,90.5,98.8,93.2,78.9,69.7,70.2,71.9,62,65.4,61.1,51.5,51.1,58.3,64.9,61.9,61.6,64.8,62.3,61.1,54.3,45.2,37.5,31.6,26.4,25.1,24.6,24.6,23,20,22.8,22.8,21.1
Romania,,,,,,,,,,,,,,,,,,,,2.58,2.93,7.44,13.1,16.3,18.7,18.3,22.9,27.1,24.4,25.5,30.3,31.5,36.7,38.9,40.6,40.2,45.2,50.9,49,68.9,69.7,65.6,71.6,66.1,56.8,55.6,52.9
Russia,,,,,,,,,,,,,,,,,,,,,,,17.5,26.1,31.1,31.1,32.9,32.3,67.8,95.7,58,46.7,40.9,44.6,37,33.5,32.4,32.8,26,34.4,28.3,27.6,28.2,31.1,27.5,35.2,42
Rwanda,2.22,0.896,1.37,2.75,4.03,4.23,7.52,11.8,14.1,14.1,15.1,13.9,15.4,16.2,18.3,21.4,23.3,28.2,27.4,26,28,42.6,42.5,46.5,127,79.5,76.4,60.6,62.3,72.6,75,78.6,87.6,85.7,81.3,59.8,13.9,16.3,14.3,16.1,15.8,18.9,17.5,22.6,25.8,27.8,34.1
Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.6,53.2,57.1,51.7,49.4,51.4,51.6,42.7,38.6,34.9,36.4,34.5,47.6,52,51.7,55.3,58,58.2,55.5,54.4
Sao Tome and Principe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,446,432,362,353,272,256,111,70.1,83.7,91.4,98.7,81.3,70.2,60.1,78.5,70.4
Senegal,14.4,14.6,12.8,13.9,16.5,16.2,18.6,27.7,35.6,35.7,43.3,54.5,62.1,77.6,85.2,90.3,80.3,83.4,81.7,69.6,67.9,66.2,62.7,70,99,82.9,75.8,82.7,82.4,79.2,79.6,77.1,78.7,65,49.6,45.2,20.9,23.1,21.3,29.4,30.6,30.7,35.3,36.1,37.6,44.5,46.6
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.9,59.8,60,177,102,71,67.7,59.1,62.3,65.9,66.4,63.7,80.7,85.4,69.9,87.6,83.4,78,88.8,83.2
Sierra Leone,14.4,27,26.1,25.1,30.4,30.8,40.2,43.4,37.6,38.9,45.3,55.5,51,67.3,58.7,86,194,155,104,123,206,177,230,215,195,153,137,144,206,205,203,119,116,117,120,114,82.7,24.3,23.5,31.7,35.2,36.2,28.7,28.5,25.3,32.9,44.8
Solomon Islands,,,,,,,,,16.8,14.1,18,19.5,21.8,28.8,26.2,42.7,56.3,59.9,48.9,43.9,58.1,56.2,36.5,59,53.4,49.5,43.6,25,33.3,34.8,35.9,40.7,53.2,54.6,47.4,40.3,37.8,37.2,32.5,39.8,46.5,38.3,24.5,19.4,17,18.5,20.8
Somalia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,56.8,53,46.3
South Africa,,,,,,,,,,,,,,,,,,,,,,,,,15.8,16.6,18,20.1,18.4,18.4,19.1,20.9,29.9,21.8,19.3,17.7,22.3,25.1,25.2,27.3,29.5,28.8,37.6,39.2,41.5,44.6,50.9
Sri Lanka,20.3,24.1,23.6,24.1,24.3,24.3,30.8,32.4,55.2,46.5,45.5,51,54.6,56.2,51.1,59.5,64.1,71.5,74.8,74.8,73.6,73.7,66.9,66.8,68.4,65.3,60.6,54.3,58.3,64.7,57.8,57.9,62.2,57.3,56.7,46.9,42.5,44.3,41.1,46.9,38.6,39.9,53.2,54.2,54,55.9,59
St. Lucia,,,,,,,,,,,,9.35,9.44,9.62,9.4,9.71,11.2,14.8,16.2,16.2,17.3,17,18.2,18.6,20,21.3,22.5,23.9,26.4,25.2,30,36.2,40.3,42.9,43.1,47.3,36.6,43.9,74.6,38.1,48.2,35.8,34,36.6,38.8,37.9,40.6
St. Vincent and the Grenadines,7.89,3.69,2.81,9.24,9.69,10.4,11.4,9.61,9.35,10.3,13.1,18.7,19.1,21.3,18.9,18.9,20.6,24.2,25.5,25.4,27.3,28.3,28.3,36.6,41,38.8,38,35.1,37.9,52.2,51.7,47.2,39.5,43.5,46.4,48.5,41.6,32.1,34.5,37.2,44.2,45.8,41.8,43.2,46.9,46.5,48.3
Sudan,15.9,15,15.8,15.9,25,28.9,30.2,30.3,41.5,45.6,69.8,64.2,79,93.3,91,74.6,63.1,57.6,77.8,92,130,156,251,199,144,138,196,144,155,158,139,122,116,106,92.7,71.5,54.9,46.2,39.9,42.9,36.8,32.8,34.9,50,29.3,24.2,24.3
Swaziland,38,28,24.7,19.3,15.7,,,,,,,,,,,,,,,,21.9,21.2,17.4,16.2,17.2,14,13.5,22,18.4,20.9,18.9,20.8,27.2,19.6,15.4,14.2,13,12.2,13.2,14.7,16.7,14.1,10.7,10.9,9.76,10.1,14
Syria,,,,,,,,,,,,,,,,,,,,,,,,,,188,160,156,158,150,121,104,,,,,,,,,,,,,,,
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,0.51,23.6,44.3,53.6,72.3,119,96.6,131,138,113,108,86.7,58.2,50.2,39.1,37,48.8,54.3,51.1,47.2,47.4,43.6,45.3,53.3,59.7
Tanzania,,,,,,,,,,,,,,,,,,,122,138,158,137,151,165,166,144,114,93.9,81.2,82.3,71.5,64.7,66.7,63.7,68.5,50.7,22,23.7,22.2,27.2,28.6,29.8,30.1,29.9,30.1,34.6,35.3
Thailand,14.1,14.6,15.1,11.5,11.7,12.5,13.7,17,21.1,24.6,25.9,31.6,34,35,36.3,45.9,43.9,41,35.9,33,33.4,39,38.4,41.6,45.5,60.3,63.3,75.3,96,78.9,64.4,57.6,48.6,40,35.3,32.3,29.3,24.7,23.6,29.7,32.5,30.4,35.4,34.9,35.1,34.3,31.4
Togo,16,16.8,14.3,17.7,22.6,27.4,39.4,56.8,102,127,102,109,122,127,118,129,105,103,91.8,89.5,80.1,86,81.2,107,156,117,103,91.5,94.1,100,114,109,110,105,96.6,81.1,83,79,58.8,61.7,46.3,19.5,22.8,26.1,24.5,28.4,29.1
Tonga,,,,,,,,,,,,,,,,39.2,40.2,42.4,33,35.4,46.1,33.5,31.4,31.7,28.9,31.1,28.4,27,33,39.1,36.7,39.6,44.7,46.5,41.2,33.8,30.9,31.5,27.8,35.8,40.3,43.7,40.8,43.3,43.4,39.8,40.4
Tunisia,43.7,41.5,34.8,33.8,29.5,26.6,29.9,45.8,51.4,49.3,41.8,44.4,48.2,50.3,51.2,60.6,69.2,74,70.8,72.5,64.7,65.9,57.8,63.5,65.2,63,61.3,56.6,51.8,54,55.3,61.1,69.8,68.6,65.3,58.5,56.9,55.7,50.6,54.9,53.5,51.9,58.6,58.1,57.5,64.9,69.5
Turkey,16.1,20.3,17.5,16.4,13.1,11.4,11.8,19.6,23,18,28.3,27.6,31.2,33.7,36.9,39.6,44.6,48.1,46.4,39.7,33.4,34.5,36.3,38.7,52,44.4,45.2,45.3,35.5,40.3,43.4,57.8,55.4,47,40,35,38.6,38.8,38.4,43.8,39.3,37,39.1,41.4,43.5,46.7,47.8
Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,8.63,16.3,16.1,31.6,73.6,90.9,112,96.3,65.4,49.1,32.5,27,15.3,9.93,6.92,4.05,3.54,2.56,1.72,1.58,1.41,1.02,1.18,1.48
Uganda,12.2,12.4,12.1,10.4,9.7,8.88,9.99,10.3,17.7,27.6,55.8,53.4,40.6,46,30.1,35.7,36.7,31.1,30.1,42.1,61.6,85.9,107,96.3,86.5,63.3,61.8,62.5,59.9,59.1,58.1,66.6,66.5,73.8,62,51,13.4,13.7,16.4,13.2,15,16.2,16.4,35.9,32.8,36.2,39.6
Ukraine,,,,,,,,,,,,,,,,,,,,,,,0.745,6.02,10.8,17.8,21.7,22.5,31.8,51.3,45.9,59.5,56.2,52.2,50.1,41.2,51.2,57.4,55.7,91.5,92.8,85.9,77.3,82.7,97.8,135,128
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,0.464,7.91,9.7,13.5,17.2,20.1,22.6,31.4,36.5,46.5,53.9,53.2,43.4,32.4,26.2,20,16.2,20.3,19.3,17.4,16.9,17.5,20.2,21.7,23.8
Vanuatu,,,,,,,,,,,,3.66,4.94,10.9,10.8,12.9,15.4,20.7,19.2,20.8,23.5,20.2,20.8,22.2,23.9,22.6,21.7,21.4,25.3,33.5,43.3,48.3,64,53.8,44.4,27.2,26.4,25.6,24.5,25.9,26.3,23.2,49.2,27.8,26.8,,
Venezuela,12.1,14.4,16.9,15.3,9.6,7.29,13.7,25.5,35.8,43.3,43.6,42.3,42.9,50.1,68.3,63.5,60.1,79.1,61.3,81.5,71.7,66.7,66.7,66.6,67.6,49,52.2,47.9,49.8,45.1,36.9,32.7,41.2,46.9,36,31.7,24.8,25.2,21.1,25.9,26.2,38.3,35.2,36.8,,,
Vietnam,,,,,,,,,,,,,,,,,,,,327,384,257,255,191,156,124,108,82.6,84.1,82.2,38.5,36.1,35.5,36.9,36.2,32.8,28.8,30.7,27.5,32.2,40.3,41.5,41.2,39.9,40.8,42.5,45.6
Yemen,,,,,,,,,,,,,,,,,,,,,113,113,104,113,151,153,121,62.9,96.8,73.9,58,56.6,53.9,51,44.7,36.2,32,30.3,24.9,28.4,22.3,21.1,22.8,19.6,19.3,20,26
Zambia,45.8,52.4,51.8,49.2,41,69,75.8,98.4,97.8,100,91.8,95.9,97.6,126,152,223,416,337,203,182,230,232,234,215,199,195,208,164,207,184,169,158,165,144,130,70.9,20.5,22.8,18.7,25.3,23.2,22.9,23.3,21.9,28.3,42,50.6
Zimbabwe,12.5,11.1,8.28,6.65,5.53,4.34,3.39,4.65,10.4,11,12,16,22.5,29,35,43.8,43.4,44.2,35.6,34.9,38.5,41.7,63.7,67.3,68,73.5,60.5,60.1,76.4,66.7,60.7,56.7,65.5,83.6,89.7,81.1,95.7,116,144,75.3,70,65.3,65.6,57.3,54.1,56.7,57
