country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Cameroon,14.2,16.1,16.8,17.6,16.5,18,22.5,42.7,37.9,39.7,45.8,38.5,40.8,41.7,38.5,40,39.5,37.8,38.7,49.1,61.5,58,69.9,60.5,108,133,121,116,124,107,121,109,101,87.1,70.6,47.8,19.3,15.5,12.4,13.9,13.7,11.8,14.4,17,16.3,23.6,30.5
Cape Verde,,,,,,,,,,,,28.1,43.3,54.5,59.8,71,60.3,55.1,46.9,46.6,43.3,41.8,39.6,30,43.3,44.2,40.7,42.4,47.8,56.3,60.9,62.1,64,55.2,51.2,50.9,49.3,39.2,35.9,43.6,56.1,58,74.2,83.3,87.3,102,100
Central African Republic,12.9,14.3,16.1,20.9,24.6,21,21,26,23.3,22.7,24.3,33.4,34.2,39.8,42,40.1,41.6,52.5,54.1,57.4,49.3,58.3,58.3,69.5,107,86.4,94.5,95.8,96.9,93.2,96.4,90.3,110,93.5,87.1,76.6,70.9,59.8,50.4,27.2,30.8,24.7,24.5,36.5,37.5,41.6,38.8
Chad,7.45,9.31,6.2,7.37,11.6,16.4,17.8,22,25.1,30.8,27.4,29.7,26.5,26.5,21.3,21.1,24.9,30.2,26.9,28,29.9,32.9,34,48.6,66.9,58.4,59.3,62.6,59.1,72.4,80.4,65,66.2,67.5,44.4,29,28.3,24.8,20.7,21.1,20.9,19.8,19.6,23.7,18,15.3,17.6
China,,,,,,,,,,,,2.96,4.07,4.15,4.63,5.38,7.89,13,13.6,12.9,15.3,15.7,17,19.4,17.8,16.3,15.1,15.4,14.2,13.8,12.2,13.9,12.7,12.5,12.6,12.5,11.8,10.5,8.22,8.78,12.1,13.9,13.3,15.4,16.9,12,12.8
Colombia,33.5,34.6,35.1,32.9,28.9,30.8,27.5,27.3,23.1,21.9,21.5,24.8,27.8,31.2,33.4,43.6,46.4,49.7,45.7,45.5,45.6,44.1,37,35.4,27.5,27.7,30.6,30.8,34.4,41.1,35.1,38.2,35.2,40.8,33.8,26.5,24.4,22,19.9,23.7,23.2,23.1,21.6,24.5,27.7,38.8,43.3
Comoros,4.72,4.24,4.45,3.99,7.22,7.91,35.8,43.7,40.2,43.4,35.4,47.9,64,77.3,98.1,118,103,104,97.4,87.3,74.1,72.9,69.6,70.6,107,90.8,96.7,106,108,105,115,111,111,92.2,83.6,76.6,72.9,62.3,53.3,55.1,53,47.5,44.9,24.4,22.3,23.5,25.9
"Congo, Dem. Rep.",7.11,7.36,11,13.3,16.1,20,30.7,30.4,29.4,30.3,33.8,41.8,38.4,49.9,69.2,90.5,90,125,106,110,120,130,147,112,240,271,238,217,227,284,63.2,165,119,131,115,93.3,82,79.3,68.8,75,31.3,24.4,21.7,22.7,17.8,16.1,15.8
"Congo, Rep.",44.3,44.4,39.1,36.2,45.7,48.4,53.2,79.6,95,95.6,98.9,79.4,96.9,105,99.8,150,186,183,212,209,212,210,185,329,357,489,359,303,345,306,206,245,231,215,216,156,131,91.4,61.5,72.1,26.7,24.6,26.9,31.2,33.2,48,52
Costa Rica,33,34.5,36.4,35,40.3,46.1,46,47.3,52.3,57.5,62,146,171,118,95.8,100,90.1,87.2,80.9,72.5,53.8,58.7,48.2,42.3,38.5,34.2,30.9,28.5,30.1,34.1,33,32.2,32.2,34.5,32.2,33.9,31.9,32.3,29.4,26.3,22.6,25.2,31.8,35.8,40.6,45,46.9
Cote d'Ivoire,26.3,33.9,32.4,35.9,35.9,39,40.6,42.4,50.5,55,77.1,103,128,144,135,153,135,148,143,177,187,199,189,197,231,189,174,142,124,113,124,117,108,89.7,89.2,73,79.8,73.6,55.5,63.8,48.8,52.4,36.4,33,28.4,35.7,32.3
Djibouti,,,,,,,,,,,,,,,,,,,,,,42.4,44.2,47.5,50.7,52.9,56.4,51,53.2,49.1,52.5,51.2,59.1,58.7,62.9,62.7,,,,,,,,,,,
Dominica,,,,,,,,,,,,21.6,28.4,49.2,58.5,62.8,56,62,55,55.2,56.2,56.8,53,50.6,48.8,49.8,53.5,45.9,46.9,55.4,61.8,73.2,80.3,95.1,95.2,86.2,72.7,66.1,59.2,57.2,56,57.2,64,63.4,60.3,62.9,58.5
Dominican Republic,26.4,26.4,23.7,22,21.4,20.3,22.2,26.4,29.5,30.3,32.4,34,33.7,36.1,31.9,75.6,64,72.6,80.6,65.3,66.4,49.1,43.5,40.4,31.6,29.1,25.4,22.9,22.1,23.1,20.1,21.9,25.9,36.6,38.7,24.1,27,25.6,22.8,25.4,26,27.2,38,40.6,42.4,41,41.1
Ecuador,14.2,15.9,17.1,15.2,11,12.9,13.5,22.8,34.9,33.5,35,36.6,40.8,46.7,52.3,54.6,65.8,81.7,90.5,89.5,86.7,78.9,71.5,78.1,83.2,72.3,72.1,67.6,69.2,104,101,76.7,71.5,64.3,59.2,51.3,45.2,42.9,31.6,21.8,22,20.4,18.9,19.9,24,27.7,35.5
Egypt,23.6,25,22.5,21,24.8,43.2,48.8,82.6,90.6,87.3,89.2,102,115,115,113,115,124,110,132,117,78.6,89.1,75.1,66.6,62.8,55.5,46.2,37.7,37.5,33.9,29,28.7,33.7,36.7,39.9,34.1,28.7,26.2,20.6,18.7,17.2,15.3,14.4,16.2,13.7,14.6,20
El Salvador,18.3,19.6,22.2,19.8,25.7,26.6,24.5,27.9,32.5,28.4,28.6,36.5,46.8,54.5,54.6,52.9,53.5,54.1,51.6,51.1,47.8,44,40.1,29.2,27.1,27.3,28.2,29.2,27.9,30.9,35.2,39.5,41.9,57.1,57.8,58.4,56.1,50,50.6,51.6,53,53.3,56.9,58,60.5,59.7,60.3
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,5.46,6.27,6.46,11,19.5,39.3,46.6,57.7,74.8,76.2,69.5,69.5,68.4,68.4,72.9,57.1,49.7,40.8,,,,,
