country,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002
Albania,,,,,,,,,,,,,,,,52,203,502,
Algeria,,,,,,,592,617,83,,,118,,863,,,,,111
Argentina,1680,,598,2580,1820,,,406,663,3480,2130,1000,1790,1230,1690,1240,1590,,
Armenia,,,,,,,,,,,,,127,143,85,205,168,185,151
Australia,7250,7110,7740,10600,11000,11500,12700,12600,12900,12700,11700,9670,8990,9460,14800,13500,13900,14000,14500
Austria,8570,8740,10000,9580,10600,11800,12600,13400,15000,16800,18700,17600,16100,16000,15000,14400,11300,14300,20400
Azerbaijan,,,,,,,,,,,,9,81,,19,,,,
Bahamas,34,66,35,,36,,,,31,,,,,,,,,,
Bahrain,58,31,17,,,,,,26,,,,,,,,,,
Bangladesh,113,118,107,89,75,91,94,78,61,76,98,80,,,140,,,,
Barbados,41,15,,,,,,,,,,,,,,3,,,
Belarus,,,,,,,,,,237,405,633,409,483,687,550,537,529,691
Belgium,2760,10100,11900,9340,10400,12600,13200,14300,17000,19100,20700,19500,18100,17700,16100,15800,12100,15100,20800
Belize,,,,,1,,,,,,,,,,,,,,
Bolivia,56,62,,,,,,,,1,59,47,,,,,,,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,5,1,,
Botswana,,,,5,18,25,29,39,29,42,59,47,107,32,21,26,43,33,
Brazil,4890,3930,2940,2180,3040,3510,3360,2420,1820,2650,2470,2660,1490,,,3220,,3590,4740
Brunei,,,,,,,,,,251,,,,,,,,,
Bulgaria,141,1940,2410,2790,2100,1950,1470,417,394,1,280,375,530,448,534,533,481,425,376
Burundi,7,,2,,,2,2,,2,,4,1,5,,,,,,
Canada,20500,18700,17600,14700,16800,16300,14200,15500,18300,14600,11600,9140,7150,7280,9570,13800,12100,12000,13000
Chile,672,455,421,295,445,610,607,506,460,,127,133,181,,,418,601,,
China,,44,56,422,1030,2300,,4120,3970,6560,3880,3390,2980,3490,4740,7640,13400,16300,21500
Colombia,539,169,98,424,538,662,,425,248,280,690,365,370,,476,590,595,363,372
"Congo, Dem. Rep.",93,,85,,74,,,,,,55,18,14,,,,,,
Costa Rica,,,18,13,5,6,12,,,6,,,,,,,,,
Croatia,,,,,,,,,,,,25,281,119,244,275,379,289,286
Cuba,140,149,102,97,73,50,57,3,11,12,132,77,50,50,,70,,,
Cyprus,56,43,29,71,48,,43,54,57,,,,,,,3,23,660,4330
Czech Republic,,,,,,,,,,860,725,1300,1290,1480,1450,1480,1610,1720,1810
Denmark,1090,1050,958,1130,2820,2620,2380,2610,3770,6630,9720,11400,11500,12100,11000,10800,8480,10600,16500
Dominican Republic,,,125,,,,,,,,,,,,,,,,
Ecuador,92,,154,46,84,70,,102,60,45,32,90,159,212,,142,,,21
Egypt,220,298,363,235,122,214,306,403,290,341,568,346,250,,118,410,453,430,757
El Salvador,77,70,,,,6,12,6,24,61,78,61,,,,,,,
Estonia,,,,,,,,,,,,,22,108,82,103,84,257,358
Ethiopia,,,,,,,,,,,,,,,,1,1,,
Fiji,,15,12,,,,,,,,,,,,,,,,
Finland,2200,2160,2180,2670,2690,2510,2470,2680,2700,2720,2560,2350,2300,2320,2330,1620,2560,5360,11600
France,23700,37500,35600,30400,32000,32900,35200,35600,38200,44300,55000,55700,49200,50500,46200,44300,36400,43000,53400
Gambia,,,,3,14,22,25,35,26,34,56,45,98,29,18,26,51,53,
Georgia,,,,,,,,,,19,173,119,327,318,536,398,451,268,256
Germany,,,,,,,,43200,46500,52000,57800,56600,55400,55100,51700,49600,41600,48200,61200
Ghana,15,1,16,21,31,33,45,37,24,31,58,46,96,29,13,17,64,65,
Greece,9150,3230,3250,2040,385,503,1980,3690,6360,7840,8830,8950,8600,8560,7860,7600,6060,7870,13200
Guatemala,66,331,53,126,93,11,72,123,65,19,37,3,8,15,17,36,23,6,
Guyana,7,22,12,3,11,7,3,,,,,,,,,,,,
Haiti,9,9,6,16,12,,,8,,,,3,15,,,7,,,
Honduras,13,19,,60,32,,19,,24,,,4,55,,58,77,63,238,146
Hungary,2870,2100,3730,3060,2770,2410,2620,2310,2110,1410,1140,1910,1030,1190,1260,1880,1610,1450,1390
Iceland,37,21,46,44,24,80,37,30,48,6,37,11,58,41,35,27,16,42,42
India,1490,1810,1990,2030,3450,1990,1610,1570,1470,1550,1740,1610,1020,,1710,2160,,,
